layer,gpu,start_ns,wall_ms
layer:41,3,18579373733,107.391
layer:41,4,4275844996,80.133
layer:41,4,18579405845,107.557
layer:41,5,4275442318,86.396
layer:41,5,18579436700,107.486
layer:41,6,4275852306,86.811
layer:41,6,18579238641,107.507
layer:41,7,4276978109,78.674
layer:41,7,18579403297,107.769
layer:42,0,4363828202,63.542
layer:42,0,18363308419,115.45
layer:42,1,4361230188,66.098
layer:42,1,18364564688,114.749
layer:42,2,4364106851,63.127
layer:42,2,18364156678,115.207
layer:42,3,4355460474,71.678
layer:42,3,18364364610,115.073
layer:42,4,4356129951,71.722
layer:42,4,18364259326,115.314
layer:42,5,4361982658,65.186
layer:42,5,18364256742,114.987
layer:42,6,4362793895,64.336
layer:42,6,18364455975,114.782
layer:42,7,4355793125,71.7
layer:42,7,18364349515,115.05
layer:43,0,4427504221,141.825
layer:43,0,18140141421,112.471
layer:43,1,4427478951,140.812
layer:43,1,18141032889,112.489
layer:43,2,4427373649,142.61
layer:43,2,18140896246,112.873
layer:43,3,4427275269,142.124
layer:43,3,18141268668,112.366
layer:43,4,4427992799,141.778
layer:43,4,18140972337,112.789
layer:43,5,4427303677,142.184
layer:43,5,18140907577,112.795
layer:43,6,4427264672,142.014
layer:43,6,18140865445,112.784
layer:43,7,4427629034,141.756
layer:43,7,18141039924,112.872
layer:44,0,4569469487,80.322
layer:44,0,17923733891,108.708
layer:44,1,4568436566,80.639
layer:44,1,17924794819,108.037
layer:44,2,4570125272,78.593
layer:44,2,17924794451,108.142
layer:44,3,4569534125,80.213
layer:44,3,17925049072,107.923
layer:44,4,4569912175,79.007
layer:44,4,17924676208,108.198
layer:44,5,4569622748,79.273
layer:44,5,17924902869,108.111
layer:44,6,4569415815,79.404
layer:44,6,17924479854,108.297
layer:44,7,4569525330,80.056
layer:44,7,17924481903,108.592
layer:45,0,4649925742,75.883
layer:45,0,17726481414,108.993
layer:45,1,4649228953,77.434
layer:45,1,17727269610,108.882
layer:45,2,4648850524,77.209
layer:45,2,17727263838,109.501
layer:45,3,4649880749,76.244
layer:45,3,17727261408,109.16
layer:45,4,4649057927,77.719
layer:45,4,17727293066,109.309
layer:45,5,4649029905,77.374
layer:45,5,17727344978,109.487
layer:45,6,4648963821,77.995
layer:45,6,17727138818,109.055
layer:45,7,4649718256,76.921
layer:45,7,17727191005,109.245
layer:46,0,4725943497,68.901
layer:46,0,17514175580,107.816
layer:46,1,4726815182,68.133
layer:46,1,17514724762,107.414
layer:46,2,4726201100,67.304
layer:46,2,17515089680,107.397
layer:46,3,4726259377,68.109
layer:46,3,17514788485,107.459
layer:46,4,4726916233,67.43
layer:46,4,17514781647,107.625
layer:46,5,4726620371,67.482
layer:46,5,17514963642,107.482
layer:46,6,4727089470,67.314
layer:46,6,17516989685,105.273
layer:46,7,4726773352,67.281
layer:46,7,17515067787,107.573
layer:47,0,4794977712,144.37
layer:47,0,17300287169,110.171
layer:47,1,4795100520,143.956
layer:47,1,17300974826,110.37
layer:47,2,4793646762,145.72
layer:47,2,17301251479,110.6
layer:47,3,4794503246,144.989
layer:47,3,17300836877,110.508
layer:47,4,4794485919,144.665
layer:47,4,17300830406,110.603
layer:47,5,4794236457,144.265
layer:47,5,17301030790,110.636
layer:47,6,4794534489,145.013
layer:47,6,17301306047,110.247
layer:47,7,4794194816,145.231
layer:47,7,17300888349,110.677
layer:48,0,4939488487,74.917
layer:48,0,17074417435,111.037
layer:48,1,4939208914,75.209
layer:48,1,17075783379,110.076
layer:48,2,4939497776,74.428
layer:48,2,17075336598,110.865
layer:48,3,4939632555,75.699
layer:48,3,17075364952,110.627
layer:48,4,4939296830,74.693
layer:48,4,17075167723,110.723
layer:48,5,4938635122,74.638
layer:48,5,17075710233,110.466
layer:48,6,4939680965,74.216
layer:48,6,17075252707,110.863
layer:48,7,4939564750,75.03
layer:48,7,17075141999,110.696
layer:49,0,5014538279,80.358
layer:49,0,16864430991,108.261
layer:49,1,5014565297,79.828
layer:49,1,16865436276,108.093
layer:49,2,5014056356,80.473
layer:49,2,16865228145,108.525
layer:49,3,5015471256,78.119
layer:49,3,16865122335,109.943
layer:49,4,5014140426,80.055
layer:49,4,16865153465,108.351
layer:49,5,5013417807,80.225
layer:49,5,16865594527,108.237
layer:49,6,5014029612,80.688
layer:49,6,16865124880,108.525
layer:49,7,5014754164,79.665
layer:49,7,16864986433,108.645
layer:50,0,5095029062,72.773
layer:50,0,16610943020,105.366
layer:50,1,5094535997,73.829
layer:50,1,16611542052,105.594
layer:50,2,5094672192,73.243
layer:50,2,16611670732,105.156
layer:50,3,5093733093,73.414
layer:50,3,16611609182,105.333
layer:50,4,5094333199,73.432
layer:50,4,16611492298,105.18
layer:50,5,5093776210,73.823
layer:50,5,16611768985,105.132
layer:50,6,5094849454,72.965
layer:50,6,16611584941,105.11
layer:50,7,5094554612,73.656
layer:50,7,16611535955,105.354
layer:51,0,5167934239,167.856
layer:51,0,16408456272,111.499
layer:51,1,5168505430,167.445
layer:51,1,16409311614,111.405
layer:51,2,5168043331,167.767
layer:51,2,16409172560,111.803
layer:51,3,5167285764,168.134
layer:51,3,16409222191,111.972
layer:51,4,5167905679,168.752
layer:51,4,16409387098,111.457
layer:51,5,5167740963,168.466
layer:51,5,16409249560,111.683
layer:51,6,5167945379,167.2
layer:51,6,16409226991,111.723
layer:51,7,5168349155,169.277
layer:51,7,16409115955,111.686
layer:52,0,5335927796,69.785
layer:52,0,16184017753,106.472
layer:52,1,5336104206,69.295
layer:52,1,16184896655,106.673
layer:52,2,5335945511,69.034
layer:52,2,16184779388,106.11
layer:52,3,5335560043,69.202
layer:52,3,16184934669,105.929
layer:52,4,5336810579,68.412
layer:52,4,16184960597,105.967
layer:52,5,5336345389,68.925
layer:52,5,16184624652,106.451
layer:52,6,5335279244,70.113
layer:52,6,16184553573,106.413
layer:52,7,5337766541,67.72
layer:52,7,16184649641,106.256
layer:53,0,5405845220,81.777
layer:53,0,15971919974,108.817
layer:53,1,5405548121,81.592
layer:53,1,15972725736,108.993
layer:53,2,5405119242,82.437
layer:53,2,15972489093,109.255
layer:53,3,5404899541,81.123
layer:53,3,15972719291,109.119
layer:53,4,5405367360,82.449
layer:53,4,15972600592,109.15
layer:53,5,5405405388,82.667
layer:53,5,15972643526,109.37
layer:53,6,5405525075,81.621
layer:53,6,15972687064,109.079
layer:53,7,5405628665,81.505
layer:53,7,15972741289,109.154
layer:54,0,5487755473,73.783
layer:54,0,15732574184,108.816
layer:54,1,5487286916,74.414
layer:54,1,15734200265,107.744
layer:54,2,5487691108,91.979
layer:54,2,15734031199,107.898
layer:54,3,5486170896,76.233
layer:54,3,15734120882,108.014
layer:54,4,5487960765,74.619
layer:54,4,15733898801,108.29
layer:54,5,5488214252,73.855
layer:54,5,15734073197,107.879
layer:54,6,5487281698,74.438
layer:54,6,15733734983,108.148
layer:54,7,5487272510,74.501
layer:54,7,15734058195,108.149
layer:55,0,5561673376,155.752
layer:55,0,15518254932,109.458
layer:55,1,5561842178,155.221
layer:55,1,15519087129,109.752
layer:55,2,5579800128,137.957
layer:55,2,15519204822,109.451
layer:55,3,5562539949,155.449
