k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
272,3,0.099,0.858,32.357,0.717,forward|layer|moe|hybridep_dispatch
273,5,0.04,0.004,4.82,4.656,forward|layer|moe|moe_experts
274,1,10.125,0.183,26.149,77.735,forward|layer|moe
275,1,0.139,0.003,4.046,1.184,forward|layer|moe
276,1,0.088,0.889,34.263,0.712,forward|layer|moe|hybridep_dispatch
277,1,0.18,0.004,4.734,3.549,forward|layer|moe|moe_experts
278,0,10.767,0.158,25.22,71.592,forward|layer|moe
279,1,0.104,0.003,3.903,0.876,forward|layer|moe
280,4,0.038,0.9,31.296,0.365,forward|layer|moe|hybridep_dispatch
281,2,0.107,0.005,4.982,3.421,forward|layer|moe|moe_experts
282,5,9.595,0.152,25.074,72.311,forward|layer|attention
283,2,0.023,0.002,4.087,0.744,forward|layer|attention
284,6,0.025,4.175,102.94,0.277,forward|layer|moe|hybridep_dispatch
285,1,0.126,0.004,4.697,3.685,forward|layer|moe|moe_experts
286,4,7.855,0.17,24.614,69.895,forward|layer|moe
287,1,0.041,0.005,3.877,0.622,forward|layer|moe
288,2,0.055,1.009,31.289,0.508,forward|layer|moe|hybridep_dispatch
289,7,0.051,0.004,5.008,4.062,forward|layer|moe|moe_experts
290,6,17.393,0.155,30.772,118.753,forward|layer|moe
291,3,0.058,0.006,4.091,0.997,forward|layer|moe
292,6,0.084,0.947,33.045,0.839,forward|layer|moe|hybridep_dispatch
293,2,0.041,0.004,4.644,3.929,forward|layer|moe|moe_experts
294,6,8.586,0.183,26.764,87.072,forward|layer|moe
295,3,0.05,0.005,3.833,0.461,forward|layer|moe
296,5,0.041,0.888,33.446,0.381,forward|layer|moe|hybridep_dispatch
297,7,0.741,0.005,4.945,4.497,forward|layer|moe|moe_experts
298,1,23.169,0.172,34.906,152.388,forward|lm_head
299,3,0.03,0.005,4.024,0.508,forward|lm_head
300,2,0.18,7.551,253.348,1.315,backward|recompute|layer|moe|hybridep_dispatch
301,7,0.757,0.004,4.952,4.356,backward|recompute|layer|moe|moe_experts
302,1,22.77,0.164,34.691,150.256,backward|recompute
303,5,0.121,0.003,4.094,1.19,backward|recompute
304,1,0.014,0.007,0.38,0.153,backward|recompute
305,7,0.665,0.003,4.549,4.067,backward|recompute
306,1,29.195,0.049,41.496,191.813,backward|recompute
307,1,0.069,0.003,4.361,0.713,backward|recompute
308,6,34.91,36.862,163.565,244.588,backward|recompute|layer|moe|hybridep_dispatch
309,2,0.047,0.004,4.648,4.108,backward|recompute
310,6,7.518,0.151,25.756,79.881,backward|recompute
311,3,0.145,0.004,3.897,1.214,backward|recompute
312,3,0.01,0.01,0.376,0.124,backward|recompute
313,2,0.032,0.004,4.276,3.621,backward|recompute
314,6,8.972,0.045,29.091,94.513,backward|recompute
315,3,0.202,0.004,4.244,1.676,backward|recompute
316,0,0.283,1.983,123.269,1.951,backward|recompute|layer|moe|hybridep_dispatch
317,0,0.075,0.011,5.013,4.149,backward|recompute|layer|moe|moe_experts
318,6,17.49,0.152,30.705,118.406,backward|recompute
319,0,0.03,0.003,4.072,0.805,backward|recompute
320,2,0.006,0.011,0.37,0.092,backward|recompute
