category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_TNT,116,0.0,21.1,0.033
gemm,nvjet_sm103_tst_160x192_64x5_1x2_2cta_h_bz_NNN,2,0.0,80.0,0.097
gemm,nvjet_sm103_tst_160x192_64x5_2x2f_2cta_h_bz_NNN,4,0.0,121.2,0.144
gemm,nvjet_sm103_tst_176x128_64x8_2x2f_2cta_h_bz_TNN,90,0.0,39.1,0.054
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_NNT,84,0.0,39.2,0.058
gemm,nvjet_sm103_tst_192x128_64x6_2x1_2cta_v_bz_NNT,63,0.0,11.5,0.012
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_TNT,32,0.0,56.6,0.087
gemm,nvjet_sm103_tst_192x128_64x6_2x2f_2cta_h_bz_TNT,8,0.0,81.3,0.087
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_NNT,2,0.0,52.1,0.06
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_TNT,4,0.0,30.1,0.036
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_NNT,8,0.0,68.2,0.145
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_TNT,20,0.0,36.9,0.098
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_NNT,78,0.0,45.5,0.068
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_NNT,4,0.0,71.9,0.084
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_TNT,30,0.0,86.6,0.128
gemm,nvjet_sm103_tst_192x176_64x6_2x2f_2cta_h_bz_TNT,6,0.0,107.9,0.127
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_NNT,60,0.0,50.2,0.07
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_TNT,120,0.0,27.2,0.04
gemm,nvjet_sm103_tst_192x256_64x5_2x2_2cta_h_bz_NNT,5,0.0,55.9,0.057
gemm,nvjet_sm103_tst_192x80_64x7_2x2_2cta_h_bz_NNT,3,0.0,36.1,0.037
