category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_TNT,212,0.001,36.9,0.064
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_NNT,166,0.001,47.2,0.086
gemm,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_TNT,194,0.001,46.8,0.096
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_NNT,63,0.001,113.4,0.169
gemm,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_TNT,40,0.001,172.0,0.215
gemm,nvjet_sm103_tst_256x112_64x5_2x1_2cta_v_bz_NNT,53,0.001,96.9,0.167
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT,83,0.001,67.6,0.144
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_NNT,74,0.001,111.6,0.189
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_NNT,120,0.001,88.8,0.126
gemm,nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_NTN,64,0.001,186.7,0.19
gemm,nvjet_sm103_tst_32x384_64x4_1x4_2cta_h_bz_splitK_NTN,24,0.001,226.0,0.231
gemm,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN,574,0.001,15.7,0.03
gemm,nvjet_sm103_tst_64x112_64x14_2x2_2cta_h_bz_TNT,196,0.001,32.1,0.082
gemm,nvjet_sm103_tst_64x16_64x16_4x1_2cta_v_bz_TNT,334,0.001,14.5,0.027
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_splitK_NNT,193,0.001,20.6,0.06
gemm,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT,624,0.001,10.0,0.011
gemm,nvjet_sm103_tst_64x40_64x16_2x2_h_bz_TNT,144,0.001,29.5,0.077
gemm,nvjet_sm103_tst_64x48_64x16_2x1_2cta_v_bz_NNT,129,0.001,29.4,0.094
gemm,nvjet_sm103_tst_64x48_64x16_2x2_2cta_h_bz_TNT,274,0.001,29.5,0.113
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT,402,0.001,25.6,0.068
gemm,nvjet_sm103_tst_64x72_64x12_4x1_v_bz_TNT,244,0.001,33.5,0.102
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_NNT,158,0.001,28.2,0.073
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_TNT,262,0.001,30.1,0.1
gemm,nvjet_sm103_tst_64x88_64x11_4x1_v_bz_TNT,122,0.001,36.1,0.062
gemm,nvjet_sm103_tst_64x8_64x16_2x2_h_bz_TNT,298,0.001,29.0,0.067
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_NNT,240,0.001,21.3,0.046
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT,480,0.001,14.1,0.029
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT,240,0.001,16.1,0.091
gemm,nvjet_sm103_tst_64x96_64x15_2x2_2cta_h_bz_TNT,272,0.001,31.4,0.118
gemm,nvjet_sm103_tst_96x128_64x7_4x1_v_bz_TNN,238,0.001,44.1,0.09
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_TNN,244,0.001,19.3,0.031
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_NNT,112,0.0,34.0,0.082
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_NNT,62,0.0,37.4,0.058
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_TNT,26,0.0,104.6,0.167
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_NNT,5,0.0,47.8,0.05
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_TNT,10,0.0,25.2,0.033
gemm,nvjet_sm103_tst_128x16_64x11_1x2_h_bz_NNT,114,0.0,25.1,0.082
gemm,nvjet_sm103_tst_128x16_64x12_2x2_2cta_h_bz_TNT,228,0.0,16.4,0.031
gemm,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_NNT,5,0.0,134.4,0.151
gemm,nvjet_sm103_tst_128x200_64x5_2x1_v_bz_NNT,21,0.0,55.5,0.136
gemm,nvjet_sm103_tst_128x216_64x4_4x1_v_bz_TNT,40,0.0,61.6,0.113
gemm,nvjet_sm103_tst_128x24_64x11_1x2_h_bz_NNT,21,0.0,25.3,0.048
gemm,nvjet_sm103_tst_128x24_64x11_1x4_h_bz_NNT,57,0.0,29.6,0.069
gemm,nvjet_sm103_tst_128x24_64x11_2x1_v_bz_splitK_NNT,68,0.0,26.3,0.091
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_TNT,230,0.0,15.3,0.024
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_TNT,2,0.0,280.3,0.281
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_NNT,36,0.0,89.8,0.134
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_TNT,28,0.0,28.5,0.13
gemm,nvjet_sm103_tst_128x272_64x4_4x1_v_bz_TNT,12,0.0,56.1,0.068
gemm,nvjet_sm103_tst_128x40_64x10_1x4_h_bz_NNT,99,0.0,32.0,0.073
gemm,nvjet_sm103_tst_128x56_64x9_1x4_h_bz_NNT,33,0.0,33.5,0.07
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_NNT,61,0.0,30.3,0.048
