phase,gpu,metric,avg
optimizer,6,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,6,NVLink TX Responses User Data [Throughput %],0.0
optimizer,7,GR Active [Throughput %],30.28
optimizer,7,SMs Active [Throughput %],10.63
optimizer,7,SM Issue [Throughput %],1.3
optimizer,7,Tensor Active [Throughput %],0.0
optimizer,7,DRAM Read Bandwidth [Throughput %],1.94
optimizer,7,DRAM Write Bandwidth [Throughput %],1.61
optimizer,7,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,7,NVLink RX Requests User Data [Throughput %],0.01
optimizer,7,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,7,NVLink RX Responses User Data [Throughput %],0.0
optimizer,7,NVLink TX Requests Protocol Data [Throughput %],0.01
optimizer,7,NVLink TX Requests User Data [Throughput %],0.01
optimizer,7,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,7,NVLink TX Responses User Data [Throughput %],0.0
