category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_256x112_64x5_2x1_2cta_v_bz_NNT,55,0.001,98.8,0.166
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT,75,0.001,67.2,0.122
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_NNT,92,0.001,110.5,0.201
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_NNT,125,0.001,87.3,0.127
gemm,nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_NTN,64,0.001,186.1,0.191
gemm,nvjet_sm103_tst_32x384_64x4_1x4_2cta_h_bz_splitK_NTN,24,0.001,226.2,0.231
gemm,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN,584,0.001,15.7,0.029
gemm,nvjet_sm103_tst_64x112_64x14_2x2_2cta_h_bz_TNT,178,0.001,32.9,0.07
gemm,nvjet_sm103_tst_64x16_64x16_4x1_2cta_v_bz_TNT,286,0.001,14.3,0.027
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_TNT,368,0.001,28.9,0.112
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_splitK_NNT,184,0.001,21.5,0.061
gemm,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT,624,0.001,9.7,0.011
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_NNT,153,0.001,25.6,0.066
gemm,nvjet_sm103_tst_64x40_64x16_2x2_h_bz_TNT,138,0.001,30.6,0.081
gemm,nvjet_sm103_tst_64x48_64x16_2x1_2cta_v_bz_NNT,143,0.001,31.8,0.113
gemm,nvjet_sm103_tst_64x48_64x16_2x2_2cta_h_bz_TNT,312,0.001,30.1,0.119
gemm,nvjet_sm103_tst_64x72_64x12_4x1_v_bz_TNT,270,0.001,33.6,0.081
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_NNT,161,0.001,27.7,0.109
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_TNT,228,0.001,29.6,0.072
gemm,nvjet_sm103_tst_64x88_64x11_4x1_v_bz_TNT,130,0.001,37.9,0.109
gemm,nvjet_sm103_tst_64x8_64x16_2x2_h_bz_TNT,252,0.001,28.1,0.065
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_NNT,271,0.001,21.6,0.078
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT,542,0.001,14.1,0.028
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT,271,0.001,15.6,0.061
gemm,nvjet_sm103_tst_64x96_64x15_2x2_2cta_h_bz_TNT,256,0.001,30.5,0.12
gemm,nvjet_sm103_tst_96x128_64x7_4x1_v_bz_TNN,260,0.001,44.5,0.118
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_TNN,252,0.001,19.4,0.031
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_NNT,62,0.0,38.5,0.093
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_TNT,34,0.0,103.7,0.161
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_NNT,5,0.0,48.7,0.063
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_TNT,10,0.0,26.8,0.034
gemm,nvjet_sm103_tst_128x168_64x5_4x1_v_bz_TNT,68,0.0,57.5,0.13
gemm,nvjet_sm103_tst_128x16_64x11_1x2_h_bz_NNT,114,0.0,26.0,0.078
gemm,nvjet_sm103_tst_128x16_64x12_2x2_2cta_h_bz_TNT,228,0.0,16.1,0.028
gemm,nvjet_sm103_tst_128x192_64x7_2x2f_2cta_h_bz_NNT,2,0.0,146.7,0.154
gemm,nvjet_sm103_tst_128x200_64x5_2x1_v_bz_NNT,15,0.0,64.6,0.132
gemm,nvjet_sm103_tst_128x216_64x4_4x1_v_bz_TNT,42,0.0,64.1,0.15
gemm,nvjet_sm103_tst_128x24_64x11_1x2_h_bz_NNT,21,0.0,25.0,0.048
