layer,gpu,start_ns,wall_ms
layer:30,2,22649223048,120.393
layer:30,3,4711493385,80.996
layer:30,3,22648840627,121.322
layer:30,4,4704337590,87.189
layer:30,4,22648870988,120.56
layer:30,5,4704876353,87.372
layer:30,5,22648257636,121.43
layer:30,6,4704830909,87.387
layer:30,6,22648398825,120.907
layer:30,7,4704233567,88.129
layer:30,7,22648359814,121.396
layer:31,0,4790900668,161.811
layer:31,0,22422869283,122.61
layer:31,1,4800105826,160.034
layer:31,1,22423954109,121.923
layer:31,2,4791128918,175.287
layer:31,2,22423644507,122.348
layer:31,3,4792627577,158.799
layer:31,3,22424184121,123.249
layer:31,4,4791695728,159.53
layer:31,4,22423620319,122.421
layer:31,5,4792410694,158.397
layer:31,5,22423683878,122.374
layer:31,6,4792381612,158.725
layer:31,6,22423758681,121.937
layer:31,7,4792506504,159.411
layer:31,7,22423702894,122.295
layer:32,0,4952890990,81.907
layer:32,0,22204019937,113.884
layer:32,1,4960284207,75.433
layer:32,1,22204909420,113.526
layer:32,2,4966559426,68.746
layer:32,2,22204757803,113.728
layer:32,3,4951565456,84.619
layer:32,3,22205022832,114.047
layer:32,4,4951387135,83.721
layer:32,4,22204726459,113.712
layer:32,5,4950965730,85.532
layer:32,5,22204801633,113.93
layer:32,6,4951277641,84.494
layer:32,6,22204552563,113.877
layer:32,7,4952066181,83.368
layer:32,7,22204778617,113.785
layer:33,0,5034931526,90.404
layer:33,0,21987143080,118.452
layer:33,1,5035856076,88.42
layer:33,1,21987996013,119.239
layer:33,2,5035449844,89.725
layer:33,2,21988020017,118.025
layer:33,3,5036336992,88.31
layer:33,3,21988234563,118.047
layer:33,4,5035278595,90.415
layer:33,4,21987986118,117.99
layer:33,5,5036656225,88.804
layer:33,5,21988019157,118.555
layer:33,6,5035925292,89.612
layer:33,6,21987979478,117.866
layer:33,7,5035572583,89.376
layer:33,7,21987975825,119.285
layer:34,0,5125473085,84.511
layer:34,0,21753249870,115.983
layer:34,1,5124416763,84.998
layer:34,1,21754033158,115.582
layer:34,2,5125353399,83.846
layer:34,2,21753495197,116.175
layer:34,3,5124787356,85.458
layer:34,3,21753982374,116.003
layer:34,4,5125856546,83.237
layer:34,4,21753140835,116.583
layer:34,5,5125622353,83.954
layer:34,5,21753756756,116.259
layer:34,6,5125692209,83.892
layer:34,6,21753559965,116.252
layer:34,7,5125091352,93.132
layer:34,7,21752964774,116.671
layer:35,0,5210139612,157.515
layer:35,0,21544325468,121.226
layer:35,1,5209553397,159.41
layer:35,1,21545300688,122.433
layer:35,2,5209340478,163.407
layer:35,2,21544905097,121.031
layer:35,3,5210386427,159.037
layer:35,3,21545320084,121.008
layer:35,4,5209264507,159.447
layer:35,4,21544951657,120.974
layer:35,5,5209732327,159.617
layer:35,5,21545057146,121.102
layer:35,6,5209746005,158.717
layer:35,6,21544951490,121.558
layer:35,7,5218374557,149.699
layer:35,7,21545335401,120.587
layer:36,0,5367795545,78.225
layer:36,0,21341033084,116.063
layer:36,1,5369102210,77.11
layer:36,1,21342690111,115.6
layer:36,2,5372891661,72.724
layer:36,2,21341729511,115.99
layer:36,3,5369566383,76.988
layer:36,3,21342055512,115.996
layer:36,4,5368877218,77.147
layer:36,4,21342091060,115.608
layer:36,5,5369511944,83.696
layer:36,5,21342057711,115.893
layer:36,6,5368629185,77.673
layer:36,6,21341904129,115.626
layer:36,7,5368224299,77.894
layer:36,7,21341981226,115.793
layer:37,0,5446167143,77.693
layer:37,0,21099168797,118.712
layer:37,1,5446347086,77.71
