category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_256x112_64x5_2x1_2cta_v_bz_NNT,55,0.001,95.7,0.137
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT,70,0.001,66.9,0.137
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_NNT,78,0.001,112.5,0.209
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_NNT,116,0.001,86.4,0.168
gemm,nvjet_sm103_tst_32x384_64x4_1x2_2cta_h_bz_NTN,64,0.001,186.5,0.191
gemm,nvjet_sm103_tst_32x384_64x4_1x4_2cta_h_bz_splitK_NTN,24,0.001,231.4,0.236
gemm,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN,586,0.001,15.9,0.03
gemm,nvjet_sm103_tst_64x112_64x14_2x2_2cta_h_bz_TNT,214,0.001,32.0,0.072
gemm,nvjet_sm103_tst_64x16_64x16_4x1_2cta_v_bz_TNT,316,0.001,14.5,0.028
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_splitK_NNT,197,0.001,21.9,0.066
gemm,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT,624,0.001,9.6,0.011
gemm,nvjet_sm103_tst_64x48_64x16_2x1_2cta_v_bz_NNT,128,0.001,28.2,0.088
gemm,nvjet_sm103_tst_64x48_64x16_2x2_2cta_h_bz_TNT,318,0.001,30.5,0.105
gemm,nvjet_sm103_tst_64x72_64x12_4x1_v_bz_TNT,240,0.001,33.7,0.117
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_NNT,166,0.001,28.0,0.107
gemm,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_TNT,280,0.001,29.4,0.1
gemm,nvjet_sm103_tst_64x88_64x11_4x1_v_bz_TNT,116,0.001,35.2,0.072
gemm,nvjet_sm103_tst_64x8_64x16_2x2_h_bz_TNT,284,0.001,29.0,0.117
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_NNT,269,0.001,21.7,0.066
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT,538,0.001,14.3,0.03
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_NNT,269,0.001,16.2,0.066
gemm,nvjet_sm103_tst_64x96_64x15_2x2_2cta_h_bz_TNT,254,0.001,31.7,0.105
gemm,nvjet_sm103_tst_96x128_64x7_4x1_v_bz_TNN,228,0.001,44.4,0.114
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_TNN,242,0.001,19.3,0.032
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_NNT,67,0.0,38.4,0.086
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_TNT,20,0.0,102.7,0.206
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_NNT,2,0.0,46.1,0.046
gemm,nvjet_sm103_tst_128x160_64x8_4x1_2cta_v_bz_TNT,4,0.0,23.4,0.025
gemm,nvjet_sm103_tst_128x16_64x11_1x2_h_bz_NNT,109,0.0,24.7,0.074
gemm,nvjet_sm103_tst_128x16_64x12_2x2_2cta_h_bz_TNT,218,0.0,16.0,0.029
gemm,nvjet_sm103_tst_128x200_64x5_2x1_v_bz_NNT,20,0.0,58.7,0.09
gemm,nvjet_sm103_tst_128x216_64x4_4x1_v_bz_TNT,64,0.0,58.5,0.095
gemm,nvjet_sm103_tst_128x24_64x11_1x2_h_bz_NNT,25,0.0,26.8,0.071
gemm,nvjet_sm103_tst_128x24_64x11_1x4_h_bz_NNT,56,0.0,28.7,0.06
gemm,nvjet_sm103_tst_128x24_64x11_2x1_v_bz_splitK_NNT,82,0.0,26.1,0.079
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_TNT,208,0.0,15.6,0.024
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_TNT,6,0.0,266.0,0.273
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_NNT,46,0.0,89.4,0.144
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_TNT,44,0.0,93.4,0.144
gemm,nvjet_sm103_tst_128x272_64x4_4x1_v_bz_TNT,4,0.0,65.8,0.089
gemm,nvjet_sm103_tst_128x40_64x10_1x4_h_bz_NNT,90,0.0,32.4,0.071
gemm,nvjet_sm103_tst_128x56_64x9_1x4_h_bz_NNT,38,0.0,34.3,0.076
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_NNT,58,0.0,30.0,0.057
gemm,nvjet_sm103_tst_128x64_64x8_1x4_h_bz_NNT,67,0.0,37.7,0.077
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_NNT,85,0.0,37.7,0.073
gemm,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_TNT,106,0.0,20.8,0.042
gemm,nvjet_sm103_tst_160x192_64x5_2x2f_2cta_h_bz_NNN,1,0.0,147.9,0.148
gemm,nvjet_sm103_tst_176x128_64x8_2x2f_2cta_h_bz_TNN,90,0.0,39.4,0.056
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_NNT,83,0.0,38.4,0.053
gemm,nvjet_sm103_tst_192x128_64x6_2x1_2cta_v_bz_NNT,64,0.0,11.9,0.218
gemm,nvjet_sm103_tst_192x128_64x6_2x1_2cta_v_bz_TNT,2,0.0,123.0,0.131
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_TNT,16,0.0,60.2,0.085
