category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_TNT,196,0.001,22.6,0.051
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_NNT,105,0.001,44.4,0.08
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_TNT,156,0.001,51.0,0.083
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_NNT,171,0.001,36.4,0.077
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_TNT,204,0.001,21.4,0.044
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_NNT,61,0.001,71.9,0.097
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_TNT,122,0.001,38.8,0.059
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_NNT,211,0.001,49.8,0.135
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_TNT,242,0.001,22.5,0.048
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_NNT,144,0.001,50.7,0.136
gemm,nvjet_sm103_tst_128x200_64x5_4x1_v_bz_TNT,164,0.001,57.5,0.133
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_TNT,366,0.001,23.5,0.104
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_NNT,135,0.001,56.9,0.094
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_NNT,54,0.001,72.6,0.15
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_NNT,124,0.001,53.1,0.137
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_NNT,110,0.001,59.1,0.105
gemm,nvjet_sm103_tst_128x240_64x6_2x2f_2cta_h_bz_NNT,93,0.001,111.7,0.24
gemm,nvjet_sm103_tst_128x24_64x11_4x2_h_bz_NNT,163,0.001,24.9,0.046
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT,88,0.001,83.0,0.128
gemm,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT,94,0.001,64.6,0.138
gemm,nvjet_sm103_tst_128x272_64x4_2x1_v_bz_NNT,45,0.001,76.8,0.185
gemm,nvjet_sm103_tst_128x288_64x6_2x1_2cta_v_bz_NNT,162,0.001,52.6,0.157
gemm,nvjet_sm103_tst_128x32_64x11_2x2_2cta_h_bz_NNT,161,0.001,25.0,0.048
gemm,nvjet_sm103_tst_128x40_64x10_2x2_h_bz_splitK_TNT,178,0.001,30.4,0.098
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_NNT,232,0.001,31.0,0.133
gemm,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_TNT,260,0.001,18.5,0.041
gemm,nvjet_sm103_tst_128x48_64x11_2x2_2cta_h_bz_TNT,118,0.001,34.9,0.127
gemm,nvjet_sm103_tst_128x56_64x9_2x1_v_bz_TNT,236,0.001,19.1,0.047
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_TNT,496,0.001,18.5,0.04
