k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
338,5,9.774,0.045,26.182,73.293,backward|recompute
339,5,0.16,0.002,4.523,1.865,backward|recompute
340,0,0.106,1.848,119.615,0.828,backward|recompute|layer|moe|hybridep_dispatch
341,1,0.762,0.006,4.633,4.435,backward|recompute|layer|moe|moe_experts
342,0,10.293,0.16,24.662,70.719,backward|recompute
343,7,0.128,0.004,3.942,1.143,backward|recompute
344,7,0.009,0.007,0.371,0.122,backward|recompute
345,7,0.706,0.004,4.284,4.014,backward|recompute
346,0,13.529,0.044,29.019,93.659,backward|recompute
347,7,0.176,0.005,4.265,1.401,backward|recompute
348,6,0.066,1.715,120.936,0.697,backward|recompute|layer|moe|hybridep_dispatch
349,0,0.807,0.004,4.822,5.884,backward|recompute
350,1,8.843,0.153,24.826,70.955,backward|recompute
351,3,0.103,0.003,3.998,1.008,backward|recompute
352,3,0.01,0.008,0.375,0.125,backward|recompute
353,0,0.716,0.002,4.432,5.211,backward|recompute
354,1,10.532,0.047,27.582,83.465,backward|recompute
355,2,0.048,0.003,4.247,0.658,backward|recompute
356,6,0.05,2.706,124.992,0.52,backward|recompute|layer|moe|hybridep_dispatch
357,0,0.496,0.004,4.726,4.702,backward|recompute|layer|moe|moe_experts
358,6,9.277,0.17,24.675,70.186,backward|recompute
359,3,0.172,0.005,4.032,1.599,backward|recompute
360,3,0.01,0.007,0.374,0.116,backward|recompute
361,3,0.541,0.002,4.5,5.153,backward|recompute
362,1,10.67,0.044,27.808,84.009,backward|recompute
363,1,0.174,0.002,4.337,1.863,backward|recompute
364,5,0.158,1.777,121.543,1.26,backward|recompute|layer|moe|hybridep_dispatch
365,0,0.737,0.005,4.423,4.771,backward|recompute|layer|moe|moe_experts
366,3,10.249,0.188,25.405,76.651,backward|recompute
367,4,0.085,0.005,3.737,0.813,backward|recompute
368,4,0.009,0.01,0.373,0.116,backward|recompute
369,7,0.69,0.004,4.102,4.529,backward|recompute
370,3,13.448,0.049,29.288,96.224,backward|recompute
371,4,0.102,0.005,4.026,0.787,backward|recompute
372,0,0.054,1.634,117.503,0.475,backward|recompute|layer|moe|hybridep_dispatch
373,1,0.788,0.005,4.708,5.015,backward|recompute|layer|moe|moe_experts
374,0,7.947,0.173,23.307,58.912,backward|recompute
375,2,0.048,0.004,3.87,0.518,backward|recompute
376,6,0.003,0.008,0.367,0.071,backward|recompute
377,3,0.703,0.002,4.341,4.561,backward|recompute
378,0,9.997,0.045,26.284,72.572,backward|recompute
379,6,0.13,0.003,4.226,1.152,backward|recompute
380,2,0.037,1.977,120.721,0.455,backward|recompute|layer|moe|hybridep_dispatch
381,7,0.37,0.003,4.338,4.447,backward|recompute|layer|moe|moe_experts
382,4,8.232,0.149,23.06,57.606,backward|recompute
383,7,0.033,0.006,3.625,0.434,backward|recompute
384,7,0.007,0.007,0.368,0.099,backward|recompute
385,7,0.394,0.004,4.055,4.493,backward|recompute
386,4,10.374,0.045,26.3,74.275,backward|recompute
387,0,0.055,0.003,3.91,0.555,backward|recompute
388,6,0.065,2.937,123.352,0.556,backward|recompute|layer|moe|hybridep_dispatch
389,0,0.614,0.004,4.815,5.121,backward|recompute|layer|moe
390,1,8.183,0.172,24.729,70.645,backward|recompute
391,1,0.146,0.003,4.052,1.401,backward|recompute
392,2,0.004,0.008,0.372,0.109,backward|recompute
393,3,0.533,0.003,4.445,4.635,backward|recompute
394,1,9.816,0.045,28.093,85.948,backward|recompute
395,1,0.274,0.003,4.479,2.521,backward|recompute
396,6,0.055,1.79,122.8,0.506,backward|recompute|layer|moe|hybridep_dispatch
397,0,0.753,0.003,4.72,4.616,backward|recompute|layer
398,1,16.464,0.153,30.623,118.119,backward|recompute
399,2,0.038,0.003,3.913,1.031,backward|recompute
400,3,0.004,0.005,0.366,0.082,backward|recompute
401,0,0.675,0.002,4.336,4.122,backward|recompute
402,1,21.966,0.044,36.951,157.634,backward|recompute
403,2,0.034,0.003,4.197,1.001,backward|recompute
404,0,0.039,1.665,120.845,0.318,backward|recompute|layer|moe|hybridep_dispatch
405,1,0.674,0.005,4.148,3.993,backward|recompute|layer|moe|moe_experts
406,0,5.689,0.16,21.005,41.262,backward|recompute
407,1,0.137,0.004,3.601,1.083,backward|recompute
408,1,0.009,0.009,0.375,0.125,backward|recompute
409,1,0.646,0.003,3.859,3.847,backward|recompute
410,0,6.957,0.043,23.691,51.543,backward|recompute
411,1,0.132,0.002,3.803,0.92,backward|recompute
412,6,0.025,1.765,117.73,0.375,backward|recompute|layer|moe|hybridep_dispatch
