phase,gpu,metric,avg
backward,6,SMs Active [Throughput %],78.03
backward,6,SM Issue [Throughput %],19.66
backward,6,Tensor Active [Throughput %],29.77
backward,6,DRAM Read Bandwidth [Throughput %],12.02
backward,6,DRAM Write Bandwidth [Throughput %],7.78
backward,6,NVLink RX Requests Protocol Data [Throughput %],0.78
backward,6,NVLink RX Requests User Data [Throughput %],2.19
backward,6,NVLink RX Responses Protocol Data [Throughput %],0.37
backward,6,NVLink RX Responses User Data [Throughput %],1.86
backward,6,NVLink TX Requests Protocol Data [Throughput %],0.81
backward,6,NVLink TX Requests User Data [Throughput %],1.99
backward,6,NVLink TX Responses Protocol Data [Throughput %],0.3
backward,6,NVLink TX Responses User Data [Throughput %],1.95
backward,7,GR Active [Throughput %],99.06
backward,7,SMs Active [Throughput %],74.28
backward,7,SM Issue [Throughput %],18.84
backward,7,Tensor Active [Throughput %],27.14
backward,7,DRAM Read Bandwidth [Throughput %],11.45
backward,7,DRAM Write Bandwidth [Throughput %],7.44
backward,7,NVLink RX Requests Protocol Data [Throughput %],0.7
backward,7,NVLink RX Requests User Data [Throughput %],1.98
backward,7,NVLink RX Responses Protocol Data [Throughput %],0.4
backward,7,NVLink RX Responses User Data [Throughput %],1.91
backward,7,NVLink TX Requests Protocol Data [Throughput %],0.84
backward,7,NVLink TX Requests User Data [Throughput %],2.03
backward,7,NVLink TX Responses Protocol Data [Throughput %],0.27
backward,7,NVLink TX Responses User Data [Throughput %],1.73
optimizer,0,GR Active [Throughput %],34.55
optimizer,0,SMs Active [Throughput %],11.14
optimizer,0,SM Issue [Throughput %],1.37
optimizer,0,Tensor Active [Throughput %],0.0
optimizer,0,DRAM Read Bandwidth [Throughput %],1.97
optimizer,0,DRAM Write Bandwidth [Throughput %],1.6
optimizer,0,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Requests User Data [Throughput %],0.0
optimizer,0,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Responses User Data [Throughput %],0.0
optimizer,0,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Requests User Data [Throughput %],0.0
optimizer,0,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Responses User Data [Throughput %],0.0
optimizer,1,GR Active [Throughput %],32.99
optimizer,1,SMs Active [Throughput %],11.16
optimizer,1,SM Issue [Throughput %],1.39
optimizer,1,Tensor Active [Throughput %],0.0
optimizer,1,DRAM Read Bandwidth [Throughput %],2.03
optimizer,1,DRAM Write Bandwidth [Throughput %],1.69
optimizer,1,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Requests User Data [Throughput %],0.0
optimizer,1,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Responses User Data [Throughput %],0.0
optimizer,1,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Requests User Data [Throughput %],0.0
optimizer,1,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Responses User Data [Throughput %],0.0
optimizer,2,GR Active [Throughput %],24.96
optimizer,2,SMs Active [Throughput %],11.04
optimizer,2,SM Issue [Throughput %],1.31
optimizer,2,Tensor Active [Throughput %],0.0
optimizer,2,DRAM Read Bandwidth [Throughput %],1.95
optimizer,2,DRAM Write Bandwidth [Throughput %],1.6
optimizer,2,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,2,NVLink RX Requests User Data [Throughput %],0.01
optimizer,2,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,2,NVLink RX Responses User Data [Throughput %],0.0
optimizer,2,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,2,NVLink TX Requests User Data [Throughput %],0.0
optimizer,2,NVLink TX Responses Protocol Data [Throughput %],0.01
optimizer,2,NVLink TX Responses User Data [Throughput %],0.0
optimizer,3,GR Active [Throughput %],24.7
optimizer,3,SMs Active [Throughput %],11.03
optimizer,3,SM Issue [Throughput %],1.31
optimizer,3,Tensor Active [Throughput %],0.0
optimizer,3,DRAM Read Bandwidth [Throughput %],1.95
optimizer,3,DRAM Write Bandwidth [Throughput %],1.69
optimizer,3,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,3,NVLink RX Requests User Data [Throughput %],0.01
optimizer,3,NVLink RX Responses Protocol Data [Throughput %],0.01
optimizer,3,NVLink RX Responses User Data [Throughput %],0.0
optimizer,3,NVLink TX Requests Protocol Data [Throughput %],0.01
optimizer,3,NVLink TX Requests User Data [Throughput %],0.01
optimizer,3,NVLink TX Responses Protocol Data [Throughput %],0.01
optimizer,3,NVLink TX Responses User Data [Throughput %],0.0
optimizer,4,GR Active [Throughput %],23.89
optimizer,4,SMs Active [Throughput %],11.02
optimizer,4,SM Issue [Throughput %],1.3
optimizer,4,Tensor Active [Throughput %],0.0
optimizer,4,DRAM Read Bandwidth [Throughput %],1.99
